source_ref,image_width,image_height,image_depth,annotations,event_time,labeling_job,status
s3://${bucket}/pipeline/assets/images/2021-01-28-09-50-34/bad/image-2020-04-22-11-06-26-04-cropped-left-bottom.jpg,450,300,3,"[{'class_id': 0, 'top': 170, 'left': 291, 'height': 36, 'width': 59}, {'class_id': 0, 'top': 187, 'left': 155, 'height': 16, 'width': 94}, {'class_id': 0, 'top': 141, 'left': 192, 'height': 16, 'width': 71}]",1657199072.0,labeling-job/quality-inspection-labeling-job-11f5e1,APPROVED
s3://${bucket}/pipeline/assets/images/2021-01-28-09-50-34/bad/image-2020-04-22-10-56-30-27-cropped-right-top.jpg,450,300,3,"[{'class_id': 0, 'top': 112, 'left': 333, 'height': 112, 'width': 12}, {'class_id': 0, 'top': 105, 'left': 133, 'height': 133, 'width': 85}]",1657267439.0,labeling-job/quality-inspection-labeling-job-ee6bb9,APPROVED
s3://${bucket}/pipeline/assets/images/2021-01-28-09-50-34/bad/image-2020-04-22-10-56-30-27-cropped-left-top.jpg,450,300,3,"[{'class_id': 0, 'top': 122, 'left': 153, 'height': 102, 'width': 189}]",1657198417.0,labeling-job/quality-inspection-labeling-job-11f5e1,APPROVED
s3://${bucket}/pipeline/assets/images/2021-01-28-09-50-34/bad/image-2020-04-22-11-01-59-87-cropped-right-top.jpg,450,300,3,"[{'class_id': 0, 'top': 74, 'left': 130, 'height': 125, 'width': 49}, {'class_id': 0, 'top': 94, 'left': 286, 'height': 130, 'width': 37}]",1657198831.0,labeling-job/quality-inspection-labeling-job-11f5e1,APPROVED
s3://${bucket}/pipeline/assets/images/2021-01-28-09-50-34/bad/image-2020-04-22-11-01-09-04-cropped-right-bottom.jpg,450,300,3,"[{'class_id': 0, 'top': 106, 'left': 158, 'height': 123, 'width': 156}, {'class_id': 0, 'top': 133, 'left': 168, 'height': 98, 'width': 186}]",1657199072.0,labeling-job/quality-inspection-labeling-job-11f5e1,APPROVED
s3://${bucket}/pipeline/assets/images/2021-01-28-09-50-34/bad/image-2020-04-22-11-04-31-85-cropped-right-top.jpg,450,300,3,"[{'class_id': 0, 'top': 102, 'left': 296, 'height': 47, 'width': 114}, {'class_id': 0, 'top': 147, 'left': 111, 'height': 22, 'width': 180}]",1657199072.0,labeling-job/quality-inspection-labeling-job-11f5e1,APPROVED
s3://${bucket}/pipeline/assets/images/2021-01-28-09-50-34/bad/image-2020-04-22-11-02-37-96-cropped-right-bottom.jpg,450,300,3,"[{'class_id': 0, 'top': 134, 'left': 278, 'height': 57, 'width': 65}, {'class_id': 0, 'top': 169, 'left': 270, 'height': 24, 'width': 25}, {'class_id': 0, 'top': 192, 'left': 343, 'height': 36, 'width': 42}]",1657198831.0,labeling-job/quality-inspection-labeling-job-11f5e1,APPROVED
s3://${bucket}/pipeline/assets/images/2021-01-28-09-50-34/bad/image-2020-04-22-11-05-09-64-cropped-left-bottom.jpg,450,300,3,"[{'class_id': 0, 'top': 133, 'left': 268, 'height': 56, 'width': 56}, {'class_id': 0, 'top': 187, 'left': 334, 'height': 36, 'width': 41}]",1657199072.0,labeling-job/quality-inspection-labeling-job-11f5e1,APPROVED
s3://${bucket}/pipeline/assets/images/2021-01-28-09-50-34/good/image-2020-04-22-10-15-03-04-cropped-left-top.jpg,450,300,3,[],1657268998.0,labeling-job/quality-inspection-labeling-job-ee6bb9,APPROVED
s3://${bucket}/pipeline/assets/images/2021-01-28-09-50-34/bad/image-2020-04-22-11-06-38-66-cropped-right-top.jpg,450,300,3,"[{'class_id': 0, 'top': 132, 'left': 154, 'height': 22, 'width': 112}]",1657198831.0,labeling-job/quality-inspection-labeling-job-11f5e1,APPROVED
s3://${bucket}/pipeline/assets/images/2021-01-28-09-50-34/bad/image-2020-04-22-11-07-03-86-cropped-right-bottom.jpg,450,300,3,"[{'class_id': 0, 'top': 158, 'left': 134, 'height': 42, 'width': 118}, {'class_id': 0, 'top': 186, 'left': 295, 'height': 38, 'width': 19}, {'class_id': 0, 'top': 162, 'left': 278, 'height': 64, 'width': 51}]",1657198665.0,labeling-job/quality-inspection-labeling-job-11f5e1,APPROVED
s3://${bucket}/pipeline/assets/images/2021-01-28-09-50-34/bad/image-2020-04-22-10-53-58-45-cropped-left-bottom.jpg,450,300,3,"[{'class_id': 0, 'top': 91, 'left': 173, 'height': 108, 'width': 66}, {'class_id': 0, 'top': 88, 'left': 359, 'height': 136, 'width': 25}]",1657194220.0,labeling-job/quality-inspection-labeling-job-16eb08,APPROVED
s3://${bucket}/pipeline/assets/images/2021-01-28-09-50-34/bad/image-2020-04-22-10-51-26-67-cropped-left-bottom.jpg,450,300,3,"[{'class_id': 0, 'top': 147, 'left': 72, 'height': 27, 'width': 32}, {'class_id': 0, 'top': 112, 'left': 245, 'height': 26, 'width': 92}, {'class_id': 0, 'top': 173, 'left': 204, 'height': 66, 'width': 99}, {'class_id': 0, 'top': 183, 'left': 187, 'height': 26, 'width': 90}]",1657194356.0,labeling-job/quality-inspection-labeling-job-16eb08,APPROVED
s3://${bucket}/pipeline/assets/images/2021-01-28-09-50-34/bad/image-2020-04-22-10-51-26-67-cropped-right-top.jpg,450,300,3,"[{'class_id': 0, 'top': 165, 'left': 317, 'height': 87, 'width': 33}, {'class_id': 0, 'top': 122, 'left': 269, 'height': 58, 'width': 16}, {'class_id': 0, 'top': 123, 'left': 147, 'height': 79, 'width': 44}]",1657196197.0,labeling-job/quality-inspection-labeling-job-9634f9,APPROVED
s3://${bucket}/pipeline/assets/images/2021-01-28-09-50-34/bad/image-2020-04-22-10-57-20-85-cropped-right-top.jpg,450,300,3,"[{'class_id': 0, 'top': 76, 'left': 184, 'height': 157, 'width': 92}]",1657199072.0,labeling-job/quality-inspection-labeling-job-11f5e1,APPROVED
s3://${bucket}/pipeline/assets/images/2021-01-28-09-50-34/bad/image-2020-04-22-11-00-56-43-cropped-left-bottom.jpg,450,300,3,"[{'class_id': 0, 'top': 100, 'left': 117, 'height': 137, 'width': 88}, {'class_id': 0, 'top': 111, 'left': 320, 'height': 110, 'width': 12}]",1657198584.0,labeling-job/quality-inspection-labeling-job-11f5e1,APPROVED
s3://${bucket}/pipeline/assets/images/2021-01-28-09-50-34/bad/image-2020-04-22-11-05-09-64-cropped-left-top.jpg,450,300,3,"[{'class_id': 0, 'top': 144, 'left': 101, 'height': 17, 'width': 183}, {'class_id': 0, 'top': 99, 'left': 289, 'height': 41, 'width': 117}]",1657198916.0,labeling-job/quality-inspection-labeling-job-11f5e1,APPROVED
s3://${bucket}/pipeline/assets/images/2021-01-28-09-50-34/bad/image-2020-04-22-10-51-26-67-cropped-right-bottom.jpg,450,300,3,"[{'class_id': 0, 'top': 94, 'left': 200, 'height': 132, 'width': 36}, {'class_id': 0, 'top': 109, 'left': 309, 'height': 67, 'width': 60}, {'class_id': 0, 'top': 84, 'left': 253, 'height': 193, 'width': 145}]",1657196661.0,labeling-job/quality-inspection-labeling-job-9634f9,APPROVED
s3://${bucket}/pipeline/assets/images/2021-01-28-09-50-34/bad/image-2020-04-22-11-02-25-08-cropped-left-bottom.jpg,450,300,3,"[{'class_id': 0, 'top': 96, 'left': 284, 'height': 47, 'width': 114}, {'class_id': 0, 'top': 146, 'left': 97, 'height': 19, 'width': 181}]",1657198584.0,labeling-job/quality-inspection-labeling-job-11f5e1,APPROVED
s3://${bucket}/pipeline/assets/images/2021-01-28-09-50-34/bad/image-2020-04-22-11-03-03-25-cropped-right-top.jpg,450,300,3,"[{'class_id': 0, 'top': 100, 'left': 290, 'height': 123, 'width': 28}, {'class_id': 0, 'top': 74, 'left': 129, 'height': 131, 'width': 47}]",1657198747.0,labeling-job/quality-inspection-labeling-job-11f5e1,APPROVED
s3://${bucket}/pipeline/assets/images/2021-01-28-09-50-34/bad/image-2020-04-22-11-00-56-43-cropped-right-bottom.jpg,450,300,3,"[{'class_id': 0, 'top': 131, 'left': 165, 'height': 97, 'width': 186}, {'class_id': 0, 'top': 105, 'left': 153, 'height': 122, 'width': 150}]",1657199072.0,labeling-job/quality-inspection-labeling-job-11f5e1,APPROVED
s3://${bucket}/pipeline/assets/images/2021-01-28-09-50-34/bad/image-2020-04-22-11-03-16-05-cropped-left-bottom.jpg,450,300,3,"[{'class_id': 0, 'top': 150, 'left': 94, 'height': 17, 'width': 184}, {'class_id': 0, 'top': 97, 'left': 285, 'height': 47, 'width': 115}]",1657198584.0,labeling-job/quality-inspection-labeling-job-11f5e1,APPROVED
s3://${bucket}/pipeline/assets/images/2021-01-28-09-50-34/bad/image-2020-04-22-11-03-03-25-cropped-left-bottom.jpg,450,300,3,"[{'class_id': 0, 'top': 103, 'left': 287, 'height': 37, 'width': 110}, {'class_id': 0, 'top': 154, 'left': 97, 'height': 7, 'width': 178}]",1657198499.0,labeling-job/quality-inspection-labeling-job-11f5e1,APPROVED
s3://${bucket}/pipeline/assets/images/2021-01-28-09-50-34/bad/image-2020-04-22-10-55-52-04-cropped-left-top.jpg,450,300,3,"[{'class_id': 0, 'top': 114, 'left': 114, 'height': 84, 'width': 108}, {'class_id': 0, 'top': 83, 'left': 254, 'height': 123, 'width': 79}]",1657198747.0,labeling-job/quality-inspection-labeling-job-11f5e1,APPROVED
s3://${bucket}/pipeline/assets/images/2021-01-28-09-50-34/bad/image-2020-04-22-11-01-21-86-cropped-left-top.jpg,450,300,3,"[{'class_id': 0, 'top': 83, 'left': 185, 'height': 143, 'width': 77}]",1657198747.0,labeling-job/quality-inspection-labeling-job-11f5e1,APPROVED
s3://${bucket}/pipeline/assets/images/2021-01-28-09-50-34/bad/image-2020-04-22-11-04-57-07-cropped-right-bottom.jpg,450,300,3,"[{'class_id': 0, 'top': 74, 'left': 128, 'height': 134, 'width': 51}, {'class_id': 0, 'top': 99, 'left': 286, 'height': 130, 'width': 39}]",1657198499.0,labeling-job/quality-inspection-labeling-job-11f5e1,APPROVED
s3://${bucket}/pipeline/assets/images/2021-01-28-09-50-34/bad/image-2020-04-22-10-55-39-46-cropped-right-top.jpg,450,300,3,"[{'class_id': 0, 'top': 123, 'left': 171, 'height': 104, 'width': 184}, {'class_id': 0, 'top': 107, 'left': 165, 'height': 114, 'width': 141}]",1657198747.0,labeling-job/quality-inspection-labeling-job-11f5e1,APPROVED
s3://${bucket}/pipeline/assets/images/2021-01-28-09-50-34/bad/image-2020-04-22-11-00-31-25-cropped-left-top.jpg,450,300,3,"[{'class_id': 0, 'top': 106, 'left': 319, 'height': 113, 'width': 16}, {'class_id': 0, 'top': 98, 'left': 115, 'height': 137, 'width': 90}]",1657198916.0,labeling-job/quality-inspection-labeling-job-11f5e1,APPROVED
s3://${bucket}/pipeline/assets/images/2021-01-28-09-50-34/bad/image-2020-04-22-11-01-59-87-cropped-right-bottom.jpg,450,300,3,"[{'class_id': 0, 'top': 129, 'left': 273, 'height': 68, 'width': 72}, {'class_id': 0, 'top': 183, 'left': 338, 'height': 44, 'width': 45}]",1657199072.0,labeling-job/quality-inspection-labeling-job-11f5e1,APPROVED
s3://${bucket}/pipeline/assets/images/2021-01-28-09-50-34/bad/image-2020-04-22-10-56-55-64-cropped-left-top.jpg,450,300,3,"[{'class_id': 0, 'top': 98, 'left': 116, 'height': 135, 'width': 88}, {'class_id': 0, 'top': 107, 'left': 320, 'height': 110, 'width': 12}]",1657198747.0,labeling-job/quality-inspection-labeling-job-11f5e1,APPROVED
s3://${bucket}/pipeline/assets/images/2021-01-28-09-50-34/bad/image-2020-04-22-10-53-58-45-cropped-left-top.jpg,450,300,3,"[{'class_id': 0, 'top': 86, 'left': 130, 'height': 41, 'width': 90}, {'class_id': 0, 'top': 119, 'left': 155, 'height': 78, 'width': 139}]",1657194148.0,labeling-job/quality-inspection-labeling-job-16eb08,APPROVED
s3://${bucket}/pipeline/assets/images/2021-01-28-09-50-34/bad/image-2020-04-22-11-04-19-06-cropped-right-bottom.jpg,450,300,3,"[{'class_id': 0, 'top': 156, 'left': 116, 'height': 9, 'width': 176}, {'class_id': 0, 'top': 107, 'left': 303, 'height': 46, 'width': 128}]",1657198831.0,labeling-job/quality-inspection-labeling-job-11f5e1,APPROVED
s3://${bucket}/pipeline/assets/images/2021-01-28-09-50-34/bad/image-2020-04-22-10-52-30-17-cropped-left-top.jpg,450,300,3,"[{'class_id': 0, 'top': 93, 'left': 189, 'height': 130, 'width': 32}, {'class_id': 0, 'top': 97, 'left': 295, 'height': 82, 'width': 67}]",1657196197.0,labeling-job/quality-inspection-labeling-job-9634f9,APPROVED
s3://${bucket}/pipeline/assets/images/2021-01-28-09-50-34/bad/image-2020-04-22-10-53-20-47-cropped-left-top.jpg,450,300,3,"[{'class_id': 0, 'top': 89, 'left': 178, 'height': 110, 'width': 61}, {'class_id': 0, 'top': 89, 'left': 355, 'height': 137, 'width': 33}]",1657194010.0,labeling-job/quality-inspection-labeling-job-16eb08,APPROVED
s3://${bucket}/pipeline/assets/images/2021-01-28-09-50-34/bad/image-2020-04-22-10-54-23-65-cropped-left-top.jpg,450,300,3,"[{'class_id': 0, 'top': 119, 'left': 158, 'height': 91, 'width': 157}]",1657194148.0,labeling-job/quality-inspection-labeling-job-16eb08,APPROVED
s3://${bucket}/pipeline/assets/images/2021-01-28-09-50-34/bad/image-2020-04-22-11-03-16-05-cropped-right-top.jpg,450,300,3,"[{'class_id': 0, 'top': 92, 'left': 280, 'height': 139, 'width': 45}, {'class_id': 0, 'top': 63, 'left': 125, 'height': 147, 'width': 58}, {'class_id': 0, 'top': 56, 'left': 279, 'height': 157, 'width': 162}]",1657269064.0,labeling-job/quality-inspection-labeling-job-ee6bb9,APPROVED
s3://${bucket}/pipeline/assets/images/2021-01-28-09-50-34/bad/image-2020-04-22-11-07-42-18-cropped-right-bottom.jpg,450,300,3,"[{'class_id': 0, 'top': 154, 'left': 139, 'height': 20, 'width': 166}]",1657267662.0,labeling-job/quality-inspection-labeling-job-ee6bb9,APPROVED
s3://${bucket}/pipeline/assets/images/2021-01-28-09-50-34/bad/image-2020-04-22-10-54-23-65-cropped-right-top.jpg,450,300,3,"[{'class_id': 0, 'top': 97, 'left': 132, 'height': 96, 'width': 96}, {'class_id': 0, 'top': 143, 'left': 271, 'height': 81, 'width': 85}]",1657194220.0,labeling-job/quality-inspection-labeling-job-16eb08,APPROVED
s3://${bucket}/pipeline/assets/images/2021-01-28-09-50-34/bad/image-2020-04-22-10-56-55-64-cropped-right-bottom.jpg,450,300,3,"[{'class_id': 0, 'top': 101, 'left': 273, 'height': 102, 'width': 65}, {'class_id': 0, 'top': 119, 'left': 134, 'height': 85, 'width': 101}]",1657198665.0,labeling-job/quality-inspection-labeling-job-11f5e1,APPROVED
s3://${bucket}/pipeline/assets/images/2021-01-28-09-50-34/bad/image-2020-04-22-11-03-53-86-cropped-left-bottom.jpg,450,300,3,"[{'class_id': 0, 'top': 102, 'left': 284, 'height': 45, 'width': 126}, {'class_id': 0, 'top': 148, 'left': 96, 'height': 16, 'width': 183}]",1657198831.0,labeling-job/quality-inspection-labeling-job-11f5e1,APPROVED
s3://${bucket}/pipeline/assets/images/2021-01-28-09-50-34/bad/image-2020-04-22-10-54-49-03-cropped-right-bottom.jpg,450,300,3,"[{'class_id': 0, 'top': 130, 'left': 169, 'height': 83, 'width': 146}]",1657194220.0,labeling-job/quality-inspection-labeling-job-16eb08,APPROVED
